intern_id,attendance_rate,tasks_assigned,submission_rate,feedback_score,mentor_interactions,success
INT0127,68.1,7,73.0,8.3,7,0
INT0128,73.2,12,44.5,7.2,8,0
INT0129,81.2,14,86.0,6.6,7,1
INT0130,74.0,8,91.2,5.6,3,1
INT0131,61.4,5,49.5,4.9,4,0
INT0132,80.8,8,68.9,4.6,4,1
INT0133,67.3,11,56.6,8.4,6,0
INT0134,85.7,8,72.3,7.7,5,0
INT0135,69.0,10,84.7,6.8,11,1
INT0136,98.6,13,89.8,7.0,10,1
INT0137,70.6,5,91.8,7.8,5,1
INT0138,76.1,9,94.7,7.3,1,0
INT0139,89.8,11,71.7,5.5,5,0
INT0140,65.2,5,57.8,8.9,4,0
INT0141,82.7,8,73.3,8.0,4,1
INT0142,95.7,10,84.5,7.9,7,1
INT0143,60.7,6,56.6,8.8,9,0
INT0144,82.2,14,99.9,6.3,4,1
INT0145,83.1,9,88.5,9.3,6,1
INT0146,89.4,14,71.9,7.3,6,1
INT0147,65.2,5,64.3,8.8,5,0
INT0148,64.2,10,65.0,8.6,8,0
INT0149,86.3,10,76.1,5.9,6,1
INT0150,83.6,8,71.6,8.3,4,0
INT0151,83.0,12,89.3,8.0,7,1
INT0152,84.2,8,69.9,7.5,5,0
INT0153,71.8,12,82.6,7.4,2,0
INT0154,82.8,12,74.6,7.4,2,1
INT0155,83.5,9,79.0,8.7,10,1
INT0156,71.4,8,71.5,8.4,10,1
INT0157,100.0,6,85.6,7.5,7,1
INT0158,85.7,7,85.8,5.3,6,0
INT0159,65.7,7,81.9,8.2,6,1
INT0160,87.9,8,84.1,8.6,6,1
INT0161,68.3,8,60.8,10.0,8,0
INT0162,89.4,14,79.8,9.1,4,1
INT0163,93.9,9,93.7,4.7,3,0
INT0164,70.2,8,82.4,7.6,6,0
INT0165,91.6,14,59.5,10.0,7,0
INT0166,85.0,12,74.3,8.4,7,1
INT0167,89.9,10,80.6,8.0,2,1
INT0168,100.0,10,63.6,8.9,6,1
INT0169,77.1,12,54.6,6.6,8,1
INT0170,71.0,11,70.3,8.2,11,1
INT0171,69.3,14,63.9,7.1,8,0
INT0172,70.2,14,74.8,7.5,9,1
INT0173,79.1,12,51.1,8.7,5,0
INT0174,84.1,6,83.5,6.1,4,1
INT0175,83.3,13,65.5,9.4,10,1
INT0176,89.9,5,89.9,6.9,5,1
INT0177,80.2,12,70.8,7.9,2,0
INT0178,97.4,8,74.6,5.4,9,0
INT0179,76.8,8,72.4,8.6,8,1
INT0180,100.0,9,64.7,9.7,6,1
INT0181,87.5,12,100.0,6.7,3,1
INT0182,69.7,9,67.6,5.8,3,0
INT0183,67.1,12,90.4,7.9,8,1
INT0184,85.8,14,58.6,9.7,4,0
INT0185,77.3,5,80.6,5.3,3,1
INT0186,88.6,14,82.2,5.8,4,0
INT0187,85.7,13,74.6,6.8,6,0
INT0188,79.1,10,66.4,6.3,5,0
INT0189,69.8,7,71.1,6.3,7,0
INT0190,61.8,12,69.0,4.4,10,0
INT0191,74.6,13,100.0,8.4,8,1
INT0192,90.3,10,74.7,8.0,7,1
INT0193,82.6,11,82.9,5.0,5,1
INT0194,65.1,5,100.0,9.7,5,1
INT0195,82.1,9,61.9,10.0,6,1
INT0196,84.6,9,75.6,6.4,6,1
INT0197,69.4,14,71.0,9.2,3,1
INT0198,81.8,8,73.7,6.6,7,1
INT0199,80.7,10,72.3,7.8,4,0
INT0200,66.3,11,64.0,6.2,7,0
INT0201,84.3,13,77.9,10.0,6,1
INT0202,86.7,5,59.1,7.1,7,0
INT0203,93.0,10,89.8,7.7,4,1
INT0204,92.6,11,84.3,6.5,3,0
INT0205,63.5,7,67.6,10.0,4,1
INT0206,68.7,12,68.3,10.0,6,1
INT0207,86.2,9,79.1,9.9,5,0
INT0208,86.2,13,63.0,8.9,5,1
INT0209,86.2,9,100.0,6.6,12,1
INT0210,100.0,13,80.4,8.7,6,1
INT0211,86.9,14,80.9,7.5,4,1
INT0212,93.6,8,85.2,9.5,6,1
INT0213,91.4,13,66.3,9.2,6,0
INT0214,87.8,9,91.3,6.5,9,1
INT0215,76.2,14,76.7,8.9,9,0
INT0216,89.1,13,89.3,8.5,5,1
INT0217,70.7,7,72.0,3.3,7,0
INT0218,77.2,8,94.8,8.7,10,1
INT0219,74.2,13,81.0,6.9,2,0
INT0220,81.0,14,100.0,6.2,5,1
INT0221,100.0,10,69.5,6.2,5,1
INT0222,57.6,6,78.1,7.3,5,0
INT0223,88.2,11,59.5,8.2,7,1
INT0224,60.6,6,67.1,5.5,4,0
INT0225,74.3,6,84.3,7.8,7,0
INT0226,93.1,5,91.9,8.4,4,1
INT0227,80.8,7,100.0,10.0,8,1
INT0228,67.1,10,73.6,5.9,5,0
INT0229,71.4,12,61.0,7.0,7,0
INT0230,88.2,13,86.3,7.9,5,1
INT0231,71.2,11,58.1,9.2,8,0
INT0232,82.6,8,83.5,7.0,5,1
INT0233,80.5,10,67.5,9.3,3,0
INT0234,72.2,9,78.2,4.6,8,1
INT0235,100.0,12,91.4,5.6,12,1
INT0236,87.6,5,73.3,8.0,10,1
INT0237,55.7,5,89.0,5.4,3,0
INT0238,82.2,10,88.1,5.7,3,1
INT0239,72.1,14,47.0,6.7,9,0
INT0240,90.2,6,61.5,8.7,7,1
INT0241,70.5,9,51.6,4.7,4,0
INT0242,78.6,5,100.0,7.8,5,1
INT0243,86.1,11,73.4,9.0,3,0
INT0244,90.4,5,100.0,7.2,4,1
INT0245,65.6,8,50.5,6.9,5,0
INT0246,76.0,13,66.4,8.1,4,1
INT0247,74.3,5,87.0,7.2,4,0
INT0248,72.2,8,77.7,9.6,8,0
INT0249,100.0,10,83.0,5.8,7,1
INT0250,84.9,10,56.2,7.4,4,0
INT0251,64.9,12,95.7,7.8,5,0
INT0252,91.0,5,86.7,6.9,6,1
INT0253,100.0,11,81.0,3.2,4,0
INT0254,92.4,5,64.7,7.3,3,1
INT0255,61.8,11,79.9,8.9,7,0
INT0256,74.2,7,70.6,8.7,9,0
INT0257,95.2,12,50.2,8.0,9,1
INT0258,71.5,7,74.2,5.9,7,0
INT0259,85.3,5,72.6,8.1,7,0
INT0260,89.3,12,90.9,6.6,7,1
INT0261,68.9,7,41.5,8.0,9,1
INT0262,79.3,6,78.5,7.7,6,0
INT0263,41.1,5,57.7,6.0,3,0
INT0264,67.7,7,79.8,6.2,7,0
INT0265,77.0,6,80.6,8.0,2,0
INT0266,65.0,6,73.7,7.2,3,0
INT0267,99.6,10,87.1,6.2,5,1
INT0268,62.8,5,56.3,6.1,5,0
INT0269,74.7,6,91.6,7.0,6,1
INT0270,81.6,10,64.4,9.9,8,1
INT0271,97.3,7,51.7,6.7,5,0
INT0272,62.8,8,70.9,7.5,6,0
INT0273,94.0,5,43.6,7.7,7,1
INT0274,80.1,12,78.8,5.8,0,0
INT0275,68.2,11,71.1,4.9,3,0
INT0276,85.5,11,93.5,6.0,7,1
INT0277,82.4,7,84.7,7.9,4,1
INT0278,72.8,14,54.1,7.6,7,0
INT0279,80.8,14,62.4,8.6,7,0
INT0280,75.4,7,82.8,7.6,10,1
INT0281,81.4,6,87.7,7.3,3,0
INT0282,87.9,5,93.3,6.6,4,0
INT0283,99.0,11,93.2,8.8,4,1
INT0284,65.1,11,73.7,6.1,6,0
INT0285,100.0,6,80.4,5.8,9,1
INT0286,56.6,11,94.5,8.4,7,0
INT0287,78.2,12,70.5,5.5,5,0
INT0288,87.1,5,80.7,10.0,6,0
INT0289,83.4,13,70.1,7.6,5,1
INT0290,72.5,11,66.7,8.0,6,0
INT0291,77.5,7,75.7,6.3,6,1
INT0292,74.1,12,64.7,7.0,9,0
INT0293,72.9,11,73.0,6.9,4,1
INT0294,90.2,12,59.5,6.7,7,0
INT0295,84.3,10,72.2,8.4,5,1
INT0296,71.7,13,81.7,6.8,5,0
INT0297,90.8,9,66.2,9.0,7,1
INT0298,83.7,7,75.1,10.0,6,1
INT0299,89.8,7,77.1,7.1,8,1
INT0300,87.6,5,81.8,7.7,5,1
INT0301,70.1,12,73.0,8.1,6,0
INT0302,73.3,6,91.3,10.0,6,1
INT0303,89.0,7,43.5,7.4,10,1
INT0304,87.3,12,100.0,6.3,5,1
INT0305,79.7,12,61.9,5.6,4,0
INT0306,81.4,8,81.1,7.4,3,0
INT0307,95.3,8,60.9,6.8,6,1
INT0308,72.9,9,84.7,10.0,3,0
INT0309,86.6,10,79.1,10.0,4,1
INT0310,77.6,9,65.2,5.9,4,0
INT0311,77.4,11,91.1,6.4,5,0
INT0312,93.2,6,72.5,7.6,7,1
INT0313,89.9,11,83.2,9.6,3,1
INT0314,89.8,14,61.2,7.6,5,0
INT0315,95.7,11,74.5,6.5,5,1
INT0316,80.3,5,100.0,7.4,4,0
INT0317,88.2,11,89.4,6.6,7,1
INT0318,76.3,9,79.6,8.4,9,1
INT0319,83.9,7,68.3,6.4,8,1
INT0320,78.4,7,76.0,6.7,7,0
INT0321,81.2,8,78.0,9.2,8,1
INT0322,87.1,6,81.7,6.3,7,1
INT0323,70.2,6,58.9,5.3,5,0
INT0324,100.0,5,85.0,7.6,10,1
INT0325,67.9,9,58.7,7.0,5,0
INT0326,65.4,8,99.5,8.3,4,1
INT0327,93.9,14,63.4,8.0,5,0
INT0328,89.5,6,79.4,7.5,4,1
INT0329,87.5,7,90.1,7.4,10,1
INT0330,87.5,11,71.2,6.4,5,0
INT0331,79.9,11,80.1,7.6,3,1
INT0332,69.2,8,96.5,8.8,5,1
INT0333,80.9,9,83.5,6.0,5,1
INT0334,71.9,9,80.3,7.5,10,1
INT0335,91.7,10,49.7,9.1,4,0
INT0336,78.2,13,61.0,8.3,8,0
INT0337,70.1,6,90.7,9.5,10,1
INT0338,76.1,9,83.5,6.6,8,0
INT0339,85.0,7,85.8,4.8,9,0
INT0340,73.2,8,84.5,7.8,5,0
INT0341,70.1,14,94.3,8.0,8,1
INT0342,82.9,10,71.1,9.6,8,0
INT0343,82.9,12,76.8,9.3,11,1
INT0344,73.9,5,59.6,8.3,6,0
INT0345,74.3,14,55.8,8.6,7,0
INT0346,82.8,12,50.3,7.2,10,0
INT0347,62.6,11,61.7,5.7,6,1
INT0348,63.1,5,98.3,7.7,8,1
INT0349,71.4,6,51.7,9.0,1,0
INT0350,77.4,7,70.4,8.5,8,1
INT0351,83.7,5,55.6,8.8,4,0
INT0352,97.7,13,66.0,6.9,8,0
INT0353,90.3,12,77.5,7.1,9,0
INT0354,78.1,6,64.5,8.2,3,0
INT0355,79.8,13,91.3,6.7,0,0
INT0356,68.0,11,98.0,6.7,5,1
INT0357,79.8,13,41.3,7.9,6,0
INT0358,76.5,10,64.8,8.6,3,1
INT0359,83.9,10,75.9,7.2,3,0
INT0360,70.1,8,91.9,5.8,4,0
INT0361,86.2,14,68.2,6.4,5,1
INT0362,98.4,14,74.7,7.8,9,1
INT0363,78.7,6,57.6,7.8,2,0
INT0364,84.8,11,52.0,7.9,5,1
INT0365,88.3,9,96.7,8.3,3,1
INT0366,75.2,10,47.6,7.5,7,0
INT0367,82.7,6,100.0,7.9,3,0
INT0368,80.2,9,85.9,7.4,5,0
INT0369,81.2,14,85.2,9.2,4,1
INT0370,70.7,8,83.6,9.6,6,1
INT0371,80.3,13,71.2,5.7,8,0
INT0372,86.0,10,80.9,7.1,5,1
INT0373,97.4,6,72.2,7.5,7,0
INT0374,91.5,5,83.3,7.1,4,0
INT0375,100.0,9,74.5,10.0,5,1
INT0376,70.8,13,60.7,7.8,6,0
INT0377,90.5,10,61.9,6.3,8,0
INT0378,82.2,14,60.2,8.4,5,0
INT0379,100.0,11,89.6,7.9,5,1
INT0380,70.3,9,65.7,8.0,7,0
INT0381,69.9,14,46.3,10.0,5,0
INT0382,72.8,10,81.0,8.0,4,1
INT0383,54.5,9,97.7,7.0,4,0
INT0384,73.7,13,86.6,4.6,3,0
INT0385,70.9,10,66.0,7.3,6,0
INT0386,81.8,12,51.2,9.5,8,0
INT0387,84.1,6,73.0,7.4,7,0
INT0388,100.0,13,72.6,4.1,8,1
INT0389,91.4,9,60.5,6.8,10,1
INT0390,73.1,11,83.3,9.0,7,1
INT0391,69.2,14,100.0,8.3,8,0
INT0392,85.9,5,78.3,6.2,10,1
INT0393,64.2,14,77.4,6.7,4,0
INT0394,100.0,9,60.9,6.9,0,0
INT0395,94.2,14,96.0,6.5,6,1
INT0396,74.4,6,73.9,4.5,8,1
INT0397,59.4,10,66.3,8.6,8,1
INT0398,96.2,5,76.0,9.4,6,1
INT0399,78.6,7,82.1,5.2,5,1
INT0400,94.9,9,77.1,9.4,10,1
INT0401,60.9,8,93.1,7.3,6,1
INT0402,72.8,7,80.8,9.3,11,1
INT0403,80.1,14,70.7,7.6,6,0
INT0404,80.6,9,81.0,7.7,9,1
INT0405,74.6,12,82.5,8.1,5,0
INT0406,87.5,8,55.6,6.3,7,0
INT0407,67.2,5,92.2,9.3,3,1
INT0408,78.3,11,70.5,5.8,5,0
INT0409,81.4,12,70.9,6.9,3,1
INT0410,86.2,7,86.3,8.3,3,1
INT0411,88.5,10,86.2,6.7,4,0
INT0412,66.5,6,64.5,8.7,5,0
INT0413,61.6,11,87.0,9.6,9,1
INT0414,95.3,12,66.6,9.0,5,1
INT0415,84.0,10,100.0,4.6,9,1
INT0416,71.0,10,62.6,7.7,4,0
INT0417,98.6,9,78.6,9.0,11,1
INT0418,81.4,12,63.3,5.5,6,0
INT0419,94.2,5,100.0,8.6,4,1
INT0420,80.8,14,56.4,8.5,5,0
INT0421,100.0,8,82.9,5.7,4,1
INT0422,100.0,8,64.0,8.8,4,1
INT0423,77.0,7,69.7,7.9,11,0
INT0424,91.7,7,81.8,8.5,7,0
INT0425,87.7,8,93.4,6.1,9,1
INT0426,96.4,5,99.4,7.7,7,1
INT0427,68.4,6,51.9,4.9,4,0
INT0428,88.2,13,79.0,4.1,4,1
INT0429,92.7,14,96.9,7.7,8,1
INT0430,58.9,6,49.7,9.2,3,0
INT0431,65.8,9,79.7,7.9,11,1
INT0432,55.5,13,75.0,7.4,5,0
INT0433,76.8,13,81.2,7.2,6,0
INT0434,88.6,12,63.4,6.1,7,1
INT0435,98.0,5,53.5,7.2,5,0
INT0436,80.9,5,46.3,8.1,9,1
INT0437,99.5,13,89.6,6.8,4,1
INT0438,63.4,12,91.6,8.6,2,0
INT0439,59.6,14,79.5,7.8,5,0
INT0440,79.3,13,67.0,8.0,12,1
INT0441,84.6,11,50.7,8.8,6,0
INT0442,79.6,7,83.5,6.7,4,0
INT0443,55.2,7,58.5,8.5,5,0
INT0444,78.9,6,64.3,6.9,6,1
INT0445,64.3,9,66.2,8.0,6,0
INT0446,88.0,7,72.0,6.5,8,1
INT0447,84.4,10,63.6,6.1,8,1
INT0448,68.7,6,75.5,7.6,7,0
INT0449,73.8,7,65.7,4.7,8,0
INT0450,67.3,9,85.5,7.1,1,0
INT0451,79.2,5,90.5,5.1,10,0
INT0452,91.5,5,76.6,8.7,5,0
INT0453,68.2,14,81.9,9.1,10,1
INT0454,86.0,13,100.0,6.2,2,1
INT0455,73.6,11,57.4,8.1,5,0
INT0456,70.5,5,56.5,8.8,9,0
INT0457,78.7,12,85.4,8.9,3,0
INT0458,67.6,7,100.0,7.8,5,1
INT0459,73.4,12,71.1,8.6,3,0
INT0460,65.6,9,100.0,6.5,5,0
INT0461,100.0,5,76.4,7.6,5,1
INT0462,80.4,11,64.8,6.8,6,1
INT0463,71.6,9,60.1,6.4,8,0
INT0464,82.6,10,84.4,7.6,3,1
INT0465,78.7,10,61.3,8.0,9,1
INT0466,77.3,12,76.2,9.2,8,1
INT0467,87.4,13,98.8,7.9,6,0
INT0468,89.1,6,70.4,8.5,5,1
INT0469,73.6,13,94.7,8.5,7,1
INT0470,73.1,14,56.8,10.0,8,1
INT0471,76.7,13,67.0,4.8,5,0
INT0472,52.4,14,53.9,6.5,4,0
INT0473,61.8,14,76.1,9.7,8,1
INT0474,96.4,11,86.7,7.0,2,1
INT0475,99.7,5,76.1,8.8,7,1
INT0476,77.0,11,93.4,7.8,8,1
INT0477,86.9,14,63.8,10.0,9,1
INT0478,83.7,9,78.4,5.8,7,0
INT0479,100.0,10,67.1,9.3,6,0
INT0480,93.4,14,80.4,10.0,5,1
INT0481,78.5,11,82.6,6.0,6,1
INT0482,68.5,9,83.7,8.7,6,0
INT0483,60.7,11,58.9,6.1,8,0
INT0484,82.4,13,61.7,7.5,5,1
INT0485,70.9,7,64.4,7.1,6,0
INT0486,62.9,12,71.4,3.9,2,0
INT0487,72.2,6,76.3,8.1,3,1
INT0488,67.0,11,85.6,7.7,6,1
INT0489,100.0,6,62.3,9.7,7,1
INT0490,90.6,8,51.0,8.4,6,0
INT0491,79.9,11,100.0,10.0,9,1
INT0492,97.8,7,58.0,7.7,5,0
INT0493,80.9,6,87.5,7.3,6,0
INT0494,69.7,14,75.5,7.2,6,1
INT0495,98.3,11,78.8,6.8,8,1
INT0496,86.5,5,75.0,4.2,6,0
INT0497,67.6,12,69.2,7.2,8,0
INT0498,77.7,7,82.0,4.4,3,0
INT0499,69.5,6,68.4,8.2,5,0
INT0500,63.4,7,92.5,5.6,6,0
